hour,temp,humi,level
2.0,24.1,70.6,0
22.0,27.7,83.0,1
8.0,27.2,70.9,0
15.0,33.0,67.2,0
3.0,28.0,69.4,1
7.0,24.0,78.2,1
9.0,24.2,76.4,1
13.0,36.0,60.6,1
5.0,25.7,60.3,0
19.0,27.3,89.1,1
14.0,32.8,77.6,1
16.0,27.1,89.3,1
9.0,26.8,63.9,0
14.0,33.0,78.0,1
11.0,35.8,70.7,1
1.0,26.5,86.5,0
1.0,25.5,85.5,0
16.0,25.5,79.2,1
12.0,32.9,87.8,1
0.0,24.1,88.2,0
10.0,25.8,83.0,1
19.0,28.3,62.8,0
14.0,32.9,89.2,1
16.0,24.1,86.1,0
16.0,27.3,79.7,0
2.0,25.5,61.7,0
18.0,26.3,77.8,0
11.0,33.3,83.7,0
17.0,24.8,88.0,1
4.0,25.4,82.0,0
1.0,27.8,85.3,1
22.0,26.4,66.6,0
17.0,28.9,84.4,1
5.0,28.9,86.9,1
5.0,25.4,70.7,0
8.0,28.4,63.0,1
22.0,27.4,89.7,0
15.0,32.9,69.2,0
16.0,26.6,61.7,1
14.0,32.7,69.0,1
12.0,35.2,80.8,0
3.0,24.8,71.9,0
12.0,32.5,74.3,1
13.0,34.9,66.3,1
13.0,34.4,68.4,1
10.0,28.1,72.0,1
23.0,26.1,80.8,0
8.0,26.6,65.2,1
3.0,27.2,76.9,1
20.0,27.6,81.0,1
9.0,28.5,67.6,0
4.0,24.8,74.7,0
14.0,32.9,89.4,1
18.0,27.7,69.8,0
17.0,24.4,61.2,1
16.0,28.5,60.7,1
9.0,25.5,68.4,1
4.0,25.1,74.5,0
17.0,24.9,78.3,1
11.0,31.4,69.0,1
16.0,28.0,80.4,0
8.0,28.8,88.6,0
2.0,28.0,68.1,1
12.0,32.2,70.0,1
8.0,28.1,63.1,1
1.0,25.7,68.9,0
15.0,32.1,86.8,1
23.0,26.5,76.6,1
9.0,24.4,70.9,0
18.0,26.2,76.1,0
6.0,25.5,84.7,0
8.0,25.7,84.0,0
1.0,25.2,77.1,0
7.0,28.5,88.1,0
1.0,26.6,83.1,0
10.0,28.2,77.1,0
3.0,27.1,86.2,1
20.0,26.2,75.0,1
0.0,24.4,66.8,0
16.0,28.3,85.4,0
0.0,27.8,63.6,1
16.0,25.1,63.1,1
8.0,27.4,70.7,0
0.0,24.6,78.5,0
3.0,25.5,71.9,0
13.0,35.8,79.9,0
6.0,28.5,71.1,1
16.0,24.5,61.2,0
17.0,25.4,80.0,1
12.0,33.1,80.2,1
1.0,24.2,64.5,0
9.0,28.3,68.8,0
15.0,32.0,89.9,1
0.0,27.6,73.4,1
13.0,32.9,65.1,1
21.0,27.3,78.6,1
14.0,35.7,74.3,1
9.0,26.0,89.3,0
14.0,35.3,61.4,1
15.0,33.6,79.7,1
2.0,25.9,68.8,0
4.0,24.0,81.3,0
6.0,27.6,74.9,0
16.0,28.7,85.4,0
13.0,33.2,88.9,1
0.0,26.6,88.3,0
7.0,27.1,74.6,1
8.0,25.1,89.0,0
13.0,34.2,72.0,1
8.0,26.6,83.9,0
